"simulacion","acciones.CRC","compra.directa","call.europea"
2135,67837.2224688006,20351166.7406402,8895653.74371621
2136,47302.3087128324,14190692.6138497,2735179.61692576
2137,29248.3505028527,8774505.1508558,0
2138,139520.973298157,41856291.989447,30400778.992523
2139,16037.0756931472,4811122.70794415,0
2140,29248.3505028527,8774505.1508558,0
2141,109710.707929575,32913212.3788724,21457699.3819484
2142,6914.46368001985,2074339.10400595,0
2143,20394.6219269718,6118386.57809155,0
2144,67837.2224688006,20351166.7406402,8895653.7437162
2145,47302.3087128324,14190692.6138497,2735179.61692575
2146,97286.7683947341,29186030.5184202,17730517.5214963
2147,41945.6663722887,12583699.9116866,1128186.91476264
2148,18085.0793632753,5425523.80898259,0
2149,97286.7683947342,29186030.5184203,17730517.5214963
2150,8793.24106713804,2637972.32014141,0
2151,22999.1030279223,6899730.90837668,0
2152,22999.1030279223,6899730.90837668,0
2153,411525.410064902,123457623.019471,112002110.022547
2154,47302.3087128324,14190692.6138497,2735179.61692575
2155,177431.194797874,53229358.4393621,41773845.4424381
2156,29248.3505028527,8774505.1508558,0
2157,109710.707929575,32913212.3788724,21457699.3819484
2158,53343.0173621538,16002905.2086461,4547392.21172218
2159,14220.9935395691,4266298.06187072,0
2160,76500.3280901558,22950098.4270467,11494585.4301228
2161,29248.3505028527,8774505.15085581,0
2162,18085.0793632753,5425523.80898259,0
2163,177431.194797873,53229358.439362,41773845.4424381
2164,47302.3087128325,14190692.6138497,2735179.61692577
2165,11182.5142256848,3354754.26770545,0
2166,6914.46368001984,2074339.10400595,0
2167,32983.4908938551,9895047.26815652,0
2168,9916.17584168147,2974852.75250444,0
2169,41945.6663722887,12583699.9116866,1128186.91476264
2170,29248.3505028527,8774505.15085581,0
2171,37195.6248075908,11158687.4422772,0
2172,32983.4908938551,9895047.26815652,0
2173,67837.2224688006,20351166.7406402,8895653.74371621
2174,157338.402787286,47201520.8361857,35746007.8392617
2175,41945.6663722887,12583699.9116866,1128186.91476263
2176,76500.3280901558,22950098.4270467,11494585.4301228
2177,177431.194797874,53229358.4393621,41773845.4424381
2178,14220.9935395691,4266298.06187072,0
2179,18085.0793632753,5425523.80898259,0
2180,25936.1875882307,7780856.2764692,0
2181,97286.7683947341,29186030.5184202,17730517.5214962
2182,67837.2224688007,20351166.7406402,8895653.74371624
2183,323598.25911439,97079477.7343171,85623964.7373931
2184,76500.3280901557,22950098.4270467,11494585.4301227
2185,60155.1505355403,18046545.1606621,6591032.16373813
2186,123721.238078044,37116371.4234132,25660858.4264892
2187,47302.3087128324,14190692.6138497,2735179.61692576
2188,97286.768394734,29186030.5184202,17730517.5214962
2189,41945.6663722887,12583699.9116866,1128186.91476264
2190,41945.6663722887,12583699.9116866,1128186.91476264
2191,286953.110425736,86085933.1277208,74630420.1307969
2192,76500.3280901558,22950098.4270467,11494585.4301228
2193,286953.110425736,86085933.1277208,74630420.1307968
2194,25936.1875882307,7780856.27646921,0
2195,123721.238078044,37116371.4234132,25660858.4264893
2196,97286.7683947342,29186030.5184203,17730517.5214963
2197,67837.2224688006,20351166.7406402,8895653.74371622
2198,53343.0173621537,16002905.2086461,4547392.21172214
2199,60155.1505355403,18046545.1606621,6591032.16373813
2200,97286.7683947342,29186030.5184203,17730517.5214963
2201,123721.238078044,37116371.4234132,25660858.4264892
2202,11182.5142256848,3354754.26770545,0
2203,109710.707929575,32913212.3788724,21457699.3819484
2204,60155.1505355403,18046545.1606621,6591032.16373813
2205,60155.1505355403,18046545.1606621,6591032.16373812
2206,9916.17584168146,2974852.75250444,0
2207,7797.47048653503,2339241.14596051,0
2208,47302.3087128324,14190692.6138497,2735179.61692575
2209,67837.2224688006,20351166.7406402,8895653.74371622
2210,53343.0173621538,16002905.2086461,4547392.21172216
2211,41945.6663722887,12583699.9116866,1128186.91476264
2212,67837.2224688006,20351166.7406402,8895653.74371621
2213,200089.922928498,60026976.8785493,48571463.8816253
2214,20394.6219269718,6118386.57809155,0
2215,53343.0173621538,16002905.2086461,4547392.21172216
2216,60155.1505355403,18046545.1606621,6591032.16373813
2217,60155.1505355403,18046545.1606621,6591032.16373813
2218,9916.17584168147,2974852.75250444,0
2219,29248.3505028527,8774505.15085581,0
2220,590177.129907482,177053138.972245,165597625.975321
2221,53343.0173621537,16002905.2086461,4547392.21172215
2222,47302.3087128324,14190692.6138497,2735179.61692577
2223,109710.707929575,32913212.3788724,21457699.3819484
2224,86269.7496288713,25880924.8886614,14425411.8917374
2225,76500.3280901558,22950098.4270467,11494585.4301228
2226,67837.2224688006,20351166.7406402,8895653.74371622
2227,67837.2224688006,20351166.7406402,8895653.74371621
2228,76500.3280901558,22950098.4270467,11494585.4301228
2229,97286.7683947342,29186030.5184203,17730517.5214963
2230,32983.4908938551,9895047.26815653,0
2231,123721.238078044,37116371.4234132,25660858.4264893
2232,60155.1505355403,18046545.1606621,6591032.16373813
2233,29248.3505028527,8774505.15085581,0
2234,97286.7683947342,29186030.5184203,17730517.5214963
2235,67837.2224688006,20351166.7406402,8895653.74371621
2236,32983.490893855,9895047.26815651,0
2237,97286.7683947341,29186030.5184202,17730517.5214963
2238,22999.1030279223,6899730.90837669,0
2239,225642.268278362,67692680.4835087,56237167.4865847
2240,97286.7683947342,29186030.5184203,17730517.5214963
2241,123721.238078044,37116371.4234132,25660858.4264892
2242,47302.3087128324,14190692.6138497,2735179.61692576
2243,29248.3505028527,8774505.1508558,0
2244,53343.0173621537,16002905.2086461,4547392.21172216
2245,109710.707929575,32913212.3788724,21457699.3819484
2246,123721.238078044,37116371.4234132,25660858.4264892
2247,16037.0756931472,4811122.70794415,0
2248,225642.268278362,67692680.4835087,56237167.4865848
2249,22999.1030279223,6899730.90837668,0
2250,41945.6663722887,12583699.9116866,1128186.91476263
2251,8793.24106713804,2637972.32014141,0
2252,18085.0793632753,5425523.80898259,0
2253,60155.1505355403,18046545.1606621,6591032.16373812
2254,86269.7496288714,25880924.8886614,14425411.8917375
2255,37195.6248075908,11158687.4422773,0
2256,29248.3505028527,8774505.15085581,0
2257,139520.973298156,41856291.9894469,30400778.992523
2258,41945.6663722887,12583699.9116866,1128186.91476265
2259,29248.3505028527,8774505.1508558,0
2260,139520.973298157,41856291.989447,30400778.9925231
2261,76500.3280901557,22950098.4270467,11494585.4301228
2262,41945.6663722887,12583699.9116866,1128186.91476264
2263,25936.1875882307,7780856.27646921,0
2264,25936.1875882307,7780856.27646921,0
2265,86269.7496288714,25880924.8886614,14425411.8917375
2266,12610.5694780055,3783170.84340164,0
2267,7797.47048653504,2339241.14596051,0
2268,53343.0173621537,16002905.2086461,4547392.21172215
2269,67837.2224688006,20351166.7406402,8895653.7437162
2270,109710.707929575,32913212.3788724,21457699.3819484
2271,67837.2224688006,20351166.7406402,8895653.74371621
2272,12610.5694780055,3783170.84340164,0
2273,16037.0756931472,4811122.70794416,0
2274,29248.3505028527,8774505.15085581,0
2275,97286.7683947341,29186030.5184202,17730517.5214963
2276,200089.922928498,60026976.8785493,48571463.8816253
2277,76500.3280901558,22950098.4270467,11494585.4301228
2278,41945.6663722887,12583699.9116866,1128186.91476264
2279,177431.194797873,53229358.439362,41773845.4424381
2280,464078.978202268,139223693.46068,127768180.463756
2281,67837.2224688006,20351166.7406402,8895653.74371621
2282,41945.6663722887,12583699.9116866,1128186.91476264
2283,47302.3087128325,14190692.6138497,2735179.61692577
2284,47302.3087128325,14190692.6138497,2735179.61692578
2285,25936.1875882307,7780856.27646921,0
2286,109710.707929575,32913212.3788724,21457699.3819485
2287,76500.3280901558,22950098.4270467,11494585.4301228
2288,41945.6663722887,12583699.9116866,1128186.91476264
2289,20394.6219269718,6118386.57809154,0
2290,32983.4908938551,9895047.26815652,0
2291,16037.0756931472,4811122.70794415,0
2292,97286.7683947342,29186030.5184203,17730517.5214963
2293,53343.0173621537,16002905.2086461,4547392.21172214
2294,86269.7496288714,25880924.8886614,14425411.8917375
2295,29248.3505028527,8774505.15085581,0
2296,37195.6248075908,11158687.4422772,0
2297,67837.2224688006,20351166.7406402,8895653.74371621
2298,32983.4908938551,9895047.26815652,0
2299,67837.2224688006,20351166.7406402,8895653.74371621
2300,523343.863445261,157003159.033578,145547646.036654
2301,286953.110425736,86085933.1277208,74630420.1307968
2302,200089.922928498,60026976.8785493,48571463.8816253
2303,97286.7683947342,29186030.5184203,17730517.5214963
2304,20394.6219269718,6118386.57809154,0
2305,18085.0793632753,5425523.80898259,0
2306,20394.6219269718,6118386.57809155,0
2307,86269.7496288713,25880924.8886614,14425411.8917374
2308,67837.2224688006,20351166.7406402,8895653.74371622
2309,37195.6248075908,11158687.4422772,0
2310,41945.6663722887,12583699.9116866,1128186.91476264
2311,60155.1505355403,18046545.1606621,6591032.16373813
2312,86269.7496288715,25880924.8886615,14425411.8917375
2313,97286.7683947341,29186030.5184202,17730517.5214963
2314,97286.7683947341,29186030.5184202,17730517.5214963
2315,109710.707929575,32913212.3788724,21457699.3819484
2316,67837.2224688006,20351166.7406402,8895653.74371621
2317,37195.6248075909,11158687.4422773,0
2318,18085.0793632753,5425523.80898259,0
2319,7797.47048653504,2339241.14596051,0
2320,157338.402787286,47201520.8361857,35746007.8392617
2321,37195.6248075908,11158687.4422772,0
2322,29248.3505028527,8774505.15085581,0
2323,76500.3280901557,22950098.4270467,11494585.4301227
2324,97286.7683947342,29186030.5184203,17730517.5214963
2325,60155.1505355403,18046545.1606621,6591032.16373813
2326,123721.238078044,37116371.4234132,25660858.4264893
2327,22999.1030279223,6899730.90837668,0
2328,22999.1030279223,6899730.90837668,0
2329,97286.7683947341,29186030.5184202,17730517.5214963
2330,67837.2224688006,20351166.7406402,8895653.74371621
2331,6914.46368001985,2074339.10400595,0
2332,109710.707929575,32913212.3788724,21457699.3819484
2333,25936.1875882307,7780856.2764692,0
2334,16037.0756931472,4811122.70794415,0
2335,29248.3505028527,8774505.1508558,0
2336,97286.7683947342,29186030.5184203,17730517.5214963
2337,60155.1505355403,18046545.1606621,6591032.16373813
2338,22999.1030279223,6899730.90837668,0
2339,37195.6248075908,11158687.4422773,0
2340,9916.17584168146,2974852.75250444,0
2341,76500.3280901558,22950098.4270467,11494585.4301228
2342,22999.1030279223,6899730.90837668,0
2343,41945.6663722886,12583699.9116866,1128186.91476262
2344,76500.3280901558,22950098.4270467,11494585.4301228
2345,86269.7496288715,25880924.8886614,14425411.8917375
2346,12610.5694780055,3783170.84340164,0
2347,37195.6248075908,11158687.4422772,0
2348,37195.6248075908,11158687.4422773,0
2349,53343.0173621538,16002905.2086461,4547392.21172216
2350,37195.6248075908,11158687.4422772,0
2351,9916.17584168147,2974852.75250444,0
2352,5437.10875401649,1631132.62620495,0
2353,53343.0173621538,16002905.2086461,4547392.21172216
2354,37195.6248075908,11158687.4422772,0
2355,225642.268278362,67692680.4835088,56237167.4865848
2356,86269.7496288714,25880924.8886614,14425411.8917375
2357,11182.5142256848,3354754.26770545,0
2358,32983.4908938551,9895047.26815652,0
2359,29248.3505028527,8774505.1508558,0
2360,41945.6663722887,12583699.9116866,1128186.91476264
2361,37195.6248075908,11158687.4422772,0
2362,464078.978202267,139223693.46068,127768180.463756
2363,20394.6219269718,6118386.57809155,0
2364,67837.2224688006,20351166.7406402,8895653.74371621
2365,76500.3280901557,22950098.4270467,11494585.4301227
2366,37195.6248075908,11158687.4422772,0
2367,29248.3505028527,8774505.15085581,0
2368,123721.238078044,37116371.4234132,25660858.4264892
2369,76500.3280901558,22950098.4270467,11494585.4301228
2370,67837.2224688006,20351166.7406402,8895653.7437162
2371,60155.1505355403,18046545.1606621,6591032.16373813
2372,47302.3087128325,14190692.6138497,2735179.61692577
2373,14220.9935395691,4266298.06187072,0
2374,86269.7496288714,25880924.8886614,14425411.8917375
2375,97286.7683947341,29186030.5184202,17730517.5214963
2376,37195.6248075908,11158687.4422773,0
2377,157338.402787286,47201520.8361857,35746007.8392617
2378,123721.238078044,37116371.4234132,25660858.4264893
2379,41945.6663722887,12583699.9116866,1128186.91476264
2380,12610.5694780055,3783170.84340164,0
2381,9916.17584168147,2974852.75250444,0
2382,86269.7496288714,25880924.8886614,14425411.8917375
2383,76500.3280901558,22950098.4270467,11494585.4301228
2384,37195.6248075908,11158687.4422773,0
2385,97286.7683947341,29186030.5184202,17730517.5214963
2386,67837.2224688006,20351166.7406402,8895653.74371622
2387,139520.973298157,41856291.989447,30400778.992523
2388,86269.7496288714,25880924.8886614,14425411.8917375
2389,37195.6248075908,11158687.4422772,0
2390,53343.0173621537,16002905.2086461,4547392.21172214
2391,109710.707929575,32913212.3788724,21457699.3819484
2392,47302.3087128324,14190692.6138497,2735179.61692576
2393,123721.238078044,37116371.4234132,25660858.4264892
2394,200089.922928498,60026976.8785493,48571463.8816254
2395,32983.4908938551,9895047.26815652,0
2396,18085.0793632753,5425523.80898259,0
2397,20394.6219269718,6118386.57809154,0
2398,123721.238078044,37116371.4234132,25660858.4264893
2399,60155.1505355403,18046545.1606621,6591032.16373812
2400,139520.973298157,41856291.989447,30400778.9925231
2401,41945.6663722887,12583699.9116866,1128186.91476264
2402,18085.0793632753,5425523.80898259,0
2403,200089.922928498,60026976.8785493,48571463.8816254
2404,47302.3087128325,14190692.6138497,2735179.61692577
2405,200089.922928498,60026976.8785493,48571463.8816253
2406,29248.3505028527,8774505.15085581,0
2407,76500.3280901558,22950098.4270467,11494585.4301228
2408,67837.2224688006,20351166.7406402,8895653.7437162
2409,97286.7683947341,29186030.5184202,17730517.5214963
